source_drive_folder,brand_slug,banner_type,original_filename,suggested_github_path,normalized_suggestion,github_pages_url,recommended_plugin_positions
1. CAT FISH,top,horizontal,TOP_CPD-WC2026_728x90.gif,assets/library/top/horizontal/TOP_CPD-WC2026_728x90.gif,assets/library/top/horizontal/top-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/top/horizontal/TOP_CPD-WC2026_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,va,horizontal,CPD_VA_WORLDCUP26_728x90.gif,assets/library/va/horizontal/CPD_VA_WORLDCUP26_728x90.gif,assets/library/va/horizontal/va-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/va/horizontal/CPD_VA_WORLDCUP26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,ox,horizontal,OX_CPD_WC_728x90.gif,assets/library/ox/horizontal/OX_CPD_WC_728x90.gif,assets/library/ox/horizontal/ox-wc-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ox/horizontal/OX_CPD_WC_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,11bet,horizontal,CPD_11BET_WC_728x90.gif,assets/library/11bet/horizontal/CPD_11BET_WC_728x90.gif,assets/library/11bet/horizontal/11bet-wc-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/horizontal/CPD_11BET_WC_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,one88,horizontal,One88_CPD_WC26_728x90.gif,assets/library/one88/horizontal/One88_CPD_WC26_728x90.gif,assets/library/one88/horizontal/one88-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/one88/horizontal/One88_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,nbet,horizontal,NBET_CPD_WC26_728x90.gif,assets/library/nbet/horizontal/NBET_CPD_WC26_728x90.gif,assets/library/nbet/horizontal/nbet-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/horizontal/NBET_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,fb,horizontal,FB_CPD_WC26_728x90.gif,assets/library/fb/horizontal/FB_CPD_WC26_728x90.gif,assets/library/fb/horizontal/fb-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fb/horizontal/FB_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,bec,horizontal,BEC_CPD_WC26_728x90.gif,assets/library/bec/horizontal/BEC_CPD_WC26_728x90.gif,assets/library/bec/horizontal/bec-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/bec/horizontal/BEC_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,388bet,horizontal,388BET_CPD-WC_728x90.gif,assets/library/388bet/horizontal/388BET_CPD-WC_728x90.gif,assets/library/388bet/horizontal/388bet-wc-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/horizontal/388BET_CPD-WC_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,ld,horizontal,LD_CPD_WC_V2_728x90.gif,assets/library/ld/horizontal/LD_CPD_WC_V2_728x90.gif,assets/library/ld/horizontal/ld-wc-v2-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ld/horizontal/LD_CPD_WC_V2_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,fc,horizontal,FC_CPD_WC26_728x90.gif,assets/library/fc/horizontal/FC_CPD_WC26_728x90.gif,assets/library/fc/horizontal/fc-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fc/horizontal/FC_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,big,horizontal,BIG_CPD-WC2026_728x90.gif,assets/library/big/horizontal/BIG_CPD-WC2026_728x90.gif,assets/library/big/horizontal/big-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/big/horizontal/BIG_CPD-WC2026_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,tot,horizontal,TOT_CPD-WC-2026_728x90.gif,assets/library/tot/horizontal/TOT_CPD-WC-2026_728x90.gif,assets/library/tot/horizontal/tot-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/tot/horizontal/TOT_CPD-WC-2026_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,iwin,horizontal,IWIN_CPD_WC26_728x90.gif,assets/library/iwin/horizontal/IWIN_CPD_WC26_728x90.gif,assets/library/iwin/horizontal/iwin-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/iwin/horizontal/IWIN_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,vj,horizontal,VJ_CPD_WC2026_728x90.gif,assets/library/vj/horizontal/VJ_CPD_WC2026_728x90.gif,assets/library/vj/horizontal/vj-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/vj/horizontal/VJ_CPD_WC2026_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,db,horizontal,DB_CPD_wc26_728x90.gif,assets/library/db/horizontal/DB_CPD_wc26_728x90.gif,assets/library/db/horizontal/db-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/horizontal/DB_CPD_wc26_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,ta88,horizontal,TA88_CPD_WC_728x90.gif,assets/library/ta88/horizontal/TA88_CPD_WC_728x90.gif,assets/library/ta88/horizontal/ta88-wc-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ta88/horizontal/TA88_CPD_WC_728x90.gif,"bottom_fixed,top_header,after_content"
1. CAT FISH,lk88,horizontal,LK88_CPD_WC26_728x90.gif,assets/library/lk88/horizontal/LK88_CPD_WC26_728x90.gif,assets/library/lk88/horizontal/lk88-wc26-728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/horizontal/LK88_CPD_WC26_728x90.gif,"bottom_fixed,top_header,after_content"
2. VUÔNG,11bet,square,CPD_11BET_WC_500x500.gif,assets/library/11bet/square/CPD_11BET_WC_500x500.gif,assets/library/11bet/square/11bet-wc-500x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/square/CPD_11BET_WC_500x500.gif,"mobile_grid,content_grid,shortcode_only"
2. VUÔNG,388bet,square,388BET_CPD-WC_600x500.gif,assets/library/388bet/square/388BET_CPD-WC_600x500.gif,assets/library/388bet/square/388bet-wc-600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/square/388BET_CPD-WC_600x500.gif,"mobile_grid,content_grid,shortcode_only"
2. VUÔNG,nbet,square,NBET_CPD_WC26_600x500.gif,assets/library/nbet/square/NBET_CPD_WC26_600x500.gif,assets/library/nbet/square/nbet-wc26-600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/square/NBET_CPD_WC26_600x500.gif,"mobile_grid,content_grid,shortcode_only"
2. VUÔNG,db,square,DB_CPD_wc26_500x500.gif,assets/library/db/square/DB_CPD_wc26_500x500.gif,assets/library/db/square/db-wc26-500x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/square/DB_CPD_wc26_500x500.gif,"mobile_grid,content_grid,shortcode_only"
2. VUÔNG,lk88,square,LK88_CPD_WC26_600x500.gif,assets/library/lk88/square/LK88_CPD_WC26_600x500.gif,assets/library/lk88/square/lk88-wc26-600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/square/LK88_CPD_WC26_600x500.gif,"mobile_grid,content_grid,shortcode_only"
3. DỌC,top,vertical,TOP_CPD-WC2026_150x500.gif,assets/library/top/vertical/TOP_CPD-WC2026_150x500.gif,assets/library/top/vertical/top-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/top/vertical/TOP_CPD-WC2026_150x500.gif,"left_floating,right_floating"
3. DỌC,va,vertical,CPD_VA_WORLDCUP26_150x500.gif,assets/library/va/vertical/CPD_VA_WORLDCUP26_150x500.gif,assets/library/va/vertical/va-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/va/vertical/CPD_VA_WORLDCUP26_150x500.gif,"left_floating,right_floating"
3. DỌC,ox,vertical,OX_CPD_WC_150x500.gif,assets/library/ox/vertical/OX_CPD_WC_150x500.gif,assets/library/ox/vertical/ox-wc-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ox/vertical/OX_CPD_WC_150x500.gif,"left_floating,right_floating"
3. DỌC,11bet,vertical,CPD_11BET_WC_160x600.gif,assets/library/11bet/vertical/CPD_11BET_WC_160x600.gif,assets/library/11bet/vertical/11bet-wc-160x600.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/vertical/CPD_11BET_WC_160x600.gif,"left_floating,right_floating"
3. DỌC,nbet,vertical,NBET_CPD_WC26_160x500.gif,assets/library/nbet/vertical/NBET_CPD_WC26_160x500.gif,assets/library/nbet/vertical/nbet-wc26-160x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/vertical/NBET_CPD_WC26_160x500.gif,"left_floating,right_floating"
3. DỌC,fb,vertical,FB_CPD_WC26_150x500.gif,assets/library/fb/vertical/FB_CPD_WC26_150x500.gif,assets/library/fb/vertical/fb-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fb/vertical/FB_CPD_WC26_150x500.gif,"left_floating,right_floating"
3. DỌC,bec,vertical,BEC_CPD_WC26_150X500.gif,assets/library/bec/vertical/BEC_CPD_WC26_150X500.gif,assets/library/bec/vertical/bec-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/bec/vertical/BEC_CPD_WC26_150X500.gif,"left_floating,right_floating"
3. DỌC,388bet,vertical,388BET_CPD-WC_150x500.gif,assets/library/388bet/vertical/388BET_CPD-WC_150x500.gif,assets/library/388bet/vertical/388bet-wc-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/vertical/388BET_CPD-WC_150x500.gif,"left_floating,right_floating"
3. DỌC,big,vertical,BIG_CPD-WC2026_150x500.gif,assets/library/big/vertical/BIG_CPD-WC2026_150x500.gif,assets/library/big/vertical/big-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/big/vertical/BIG_CPD-WC2026_150x500.gif,"left_floating,right_floating"
3. DỌC,fc,vertical,FC_CPD_WC26_150x500.gif,assets/library/fc/vertical/FC_CPD_WC26_150x500.gif,assets/library/fc/vertical/fc-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fc/vertical/FC_CPD_WC26_150x500.gif,"left_floating,right_floating"
3. DỌC,ld,vertical,LD_CPD_WC_V2_150x500.gif,assets/library/ld/vertical/LD_CPD_WC_V2_150x500.gif,assets/library/ld/vertical/ld-wc-v2-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ld/vertical/LD_CPD_WC_V2_150x500.gif,"left_floating,right_floating"
3. DỌC,tot,vertical,TOT_CPD-WC-2026_160x600.gif,assets/library/tot/vertical/TOT_CPD-WC-2026_160x600.gif,assets/library/tot/vertical/tot-wc26-160x600.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/tot/vertical/TOT_CPD-WC-2026_160x600.gif,"left_floating,right_floating"
3. DỌC,iwin,vertical,IWIN_CPD_WC26_150x500.gif,assets/library/iwin/vertical/IWIN_CPD_WC26_150x500.gif,assets/library/iwin/vertical/iwin-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/iwin/vertical/IWIN_CPD_WC26_150x500.gif,"left_floating,right_floating"
3. DỌC,vj,vertical,VJ_CPD_WC2026_150x500.gif,assets/library/vj/vertical/VJ_CPD_WC2026_150x500.gif,assets/library/vj/vertical/vj-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/vj/vertical/VJ_CPD_WC2026_150x500.gif,"left_floating,right_floating"
3. DỌC,one88,vertical,One88_CPD_WC26_130x300.gif,assets/library/one88/vertical/One88_CPD_WC26_130x300.gif,assets/library/one88/vertical/one88-wc26-130x300.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/one88/vertical/One88_CPD_WC26_130x300.gif,"left_floating,right_floating"
3. DỌC,db,vertical,DB_CPD_wc26_150x500.gif,assets/library/db/vertical/DB_CPD_wc26_150x500.gif,assets/library/db/vertical/db-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/vertical/DB_CPD_wc26_150x500.gif,"left_floating,right_floating"
3. DỌC,ta88,vertical,TA88_CPD_WC_150x500.gif,assets/library/ta88/vertical/TA88_CPD_WC_150x500.gif,assets/library/ta88/vertical/ta88-wc-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ta88/vertical/TA88_CPD_WC_150x500.gif,"left_floating,right_floating"
3. DỌC,lk88,vertical,LK88_CPD_WC26_150x500.gif,assets/library/lk88/vertical/LK88_CPD_WC26_150x500.gif,assets/library/lk88/vertical/lk88-wc26-150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/vertical/LK88_CPD_WC26_150x500.gif,"left_floating,right_floating"
