banner_id,brand,brand_slug,type,position,device,order,enabled,original_filename,github_upload_path,image_url,target_url_can_sua,drive_source_folder,drive_file_url
top_horizontal_01_bottom,TOP,top,horizontal,bottom_fixed,all,1,True,TOP_CPD-WC2026_728x90.gif,assets/library/top/horizontal/TOP_CPD-WC2026_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/top/horizontal/TOP_CPD-WC2026_728x90.gif,https://link-cua-anh.com/top/horizontal/01,1. CAT FISH,https://drive.google.com/file/d/1Fwkzqrj4PjXjQU145rJrfJuSS9IqWsCS/view?usp=drivesdk
va_horizontal_02_bottom,VA,va,horizontal,bottom_fixed,all,2,False,CPD_VA_WORLDCUP26_728x90.gif,assets/library/va/horizontal/CPD_VA_WORLDCUP26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/va/horizontal/CPD_VA_WORLDCUP26_728x90.gif,https://link-cua-anh.com/va/horizontal/02,1. CAT FISH,https://drive.google.com/file/d/1H2xBbi8Bcggj7W0SvVylxGx48CIsfg2y/view?usp=drivesdk
ox_horizontal_03_bottom,OX,ox,horizontal,bottom_fixed,all,3,False,OX_CPD_WC_728x90.gif,assets/library/ox/horizontal/OX_CPD_WC_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ox/horizontal/OX_CPD_WC_728x90.gif,https://link-cua-anh.com/ox/horizontal/03,1. CAT FISH,https://drive.google.com/file/d/1kQPBgBeuc1WWCkHwEn8BCpMpb_CJsxqi/view?usp=drivesdk
11bet_horizontal_04_bottom,11BET,11bet,horizontal,bottom_fixed,all,4,False,CPD_11BET_WC_728x90.gif,assets/library/11bet/horizontal/CPD_11BET_WC_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/horizontal/CPD_11BET_WC_728x90.gif,https://link-cua-anh.com/11bet/horizontal/04,1. CAT FISH,https://drive.google.com/file/d/1ossCLorfBgM7FIW_nM0ew8ySfMCUvhvI/view?usp=drivesdk
one88_horizontal_05_bottom,ONE88,one88,horizontal,bottom_fixed,all,5,False,One88_CPD_WC26_728x90.gif,assets/library/one88/horizontal/One88_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/one88/horizontal/One88_CPD_WC26_728x90.gif,https://link-cua-anh.com/one88/horizontal/05,1. CAT FISH,https://drive.google.com/file/d/18Fa98gvdRMuxttnydY8busKpTNeUUzoO/view?usp=drivesdk
nbet_horizontal_06_bottom,NBET,nbet,horizontal,bottom_fixed,all,6,False,NBET_CPD_WC26_728x90.gif,assets/library/nbet/horizontal/NBET_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/horizontal/NBET_CPD_WC26_728x90.gif,https://link-cua-anh.com/nbet/horizontal/06,1. CAT FISH,https://drive.google.com/file/d/1jleMFV2nSkrW6BVvIKKRqtksjKKkiNir/view?usp=drivesdk
fb_horizontal_07_bottom,FB,fb,horizontal,bottom_fixed,all,7,False,FB_CPD_WC26_728x90.gif,assets/library/fb/horizontal/FB_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fb/horizontal/FB_CPD_WC26_728x90.gif,https://link-cua-anh.com/fb/horizontal/07,1. CAT FISH,https://drive.google.com/file/d/1l0OLzLuJUXGsFl0EhiVNspDgVLq_Ws0Q/view?usp=drivesdk
bec_horizontal_08_bottom,BEC,bec,horizontal,bottom_fixed,all,8,False,BEC_CPD_WC26_728x90.gif,assets/library/bec/horizontal/BEC_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/bec/horizontal/BEC_CPD_WC26_728x90.gif,https://link-cua-anh.com/bec/horizontal/08,1. CAT FISH,https://drive.google.com/file/d/1AOI1yFjWpqoHSts6L8vcAlFUu92hmdcZ/view?usp=drivesdk
388bet_horizontal_09_bottom,388BET,388bet,horizontal,bottom_fixed,all,9,False,388BET_CPD-WC_728x90.gif,assets/library/388bet/horizontal/388BET_CPD-WC_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/horizontal/388BET_CPD-WC_728x90.gif,https://link-cua-anh.com/388bet/horizontal/09,1. CAT FISH,https://drive.google.com/file/d/1Y_RUtol4o-6aO6KRMw3AL6N0PnKEqW5l/view?usp=drivesdk
ld_horizontal_10_bottom,LD,ld,horizontal,bottom_fixed,all,10,False,LD_CPD_WC_V2_728x90.gif,assets/library/ld/horizontal/LD_CPD_WC_V2_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ld/horizontal/LD_CPD_WC_V2_728x90.gif,https://link-cua-anh.com/ld/horizontal/10,1. CAT FISH,https://drive.google.com/file/d/1eNXrV7UWffuVvvw-aGpgdUaQPfk57M_g/view?usp=drivesdk
